01. Ano,02. Nome Região (Portugal),03. Âmbito Geográfico,04. Filtro 1,05. Filtro 2,06. Filtro 3,07. Escala,08. Símbolo,09. Valor
2011,Alenquer,Município,T0 ou T1,,,,,4
2011,Alenquer,Município,T2,,,,,20
2011,Alenquer,Município,T3,,,,,55
2011,Alenquer,Município,T4 ou mais,,,,,26
2011,Alenquer,Município,Total,,,,,105
2011,Alfândega da Fé,Município,T0 ou T1,,,,,1
2011,Alfândega da Fé,Município,T2,,,,,0
2011,Alfândega da Fé,Município,T3,,,,,5
2011,Alfândega da Fé,Município,T4 ou mais,,,,,8
2011,Alfândega da Fé,Município,Total,,,,,14
2011,Alijó,Município,T0 ou T1,,,,,0
2011,Alijó,Município,T2,,,,,3
2011,Alijó,Município,T3,,,,,2
2011,Alijó,Município,T4 ou mais,,,,,5
2011,Alijó,Município,Total,,,,,10
2011,Aljezur,Município,T0 ou T1,,,,,9
2011,Aljezur,Município,T2,,,,,10
2011,Aljezur,Município,T3,,,,,23
2011,Aljezur,Município,T4 ou mais,,,,,7
2011,Aljezur,Município,Total,,,,,49
2011,Aljustrel,Município,T0 ou T1,,,,,4
2011,Aljustrel,Município,T2,,,,,4
2011,Aljustrel,Município,T3,,,,,8
2011,Aljustrel,Município,T4 ou mais,,,,,4
2011,Aljustrel,Município,Total,,,,,20
2011,Almada,Município,T0 ou T1,,,,,12
2011,Almada,Município,T2,,,,,41
2011,Almada,Município,T3,,,,,79
2011,Almada,Município,T4 ou mais,,,,,48
2011,Almada,Município,Total,,,,,180
2011,Almeida,Município,T0 ou T1,,,,,0
2011,Almeida,Município,T2,,,,,2
2011,Almeida,Município,T3,,,,,0
2011,Almeida,Município,T4 ou mais,,,,,3
2011,Almeida,Município,Total,,,,,5
2011,Almeirim,Município,T0 ou T1,,,,,3
2011,Almeirim,Município,T2,,,,,10
2011,Almeirim,Município,T3,,,,,43
2011,Almeirim,Município,T4 ou mais,,,,,11
2011,Almeirim,Município,Total,,,,,67
2011,Almodôvar,Município,T0 ou T1,,,,,0
2011,Almodôvar,Município,T2,,,,,0
2011,Almodôvar,Município,T3,,,,,11
2011,Almodôvar,Município,T4 ou mais,,,,,5
2011,Almodôvar,Município,Total,,,,,16
2011,Alpiarça,Município,T0 ou T1,,,,,2
2011,Alpiarça,Município,T2,,,,,2
2011,Alpiarça,Município,T3,,,,,7
2011,Alpiarça,Município,T4 ou mais,,,,,1
2011,Alpiarça,Município,Total,,,,,12
2011,Alter do Chão,Município,T0 ou T1,,,,,0
2011,Alter do Chão,Município,T2,,,,,1
2011,Alter do Chão,Município,T3,,,,,0
2011,Alter do Chão,Município,T4 ou mais,,,,,1
2011,Alter do Chão,Município,Total,,,,,2
2011,Alvaiázere,Município,T0 ou T1,,,,,0
2011,Alvaiázere,Município,T2,,,,,1
2011,Alvaiázere,Município,T3,,,,,3
2011,Alvaiázere,Município,T4 ou mais,,,,,3
2011,Alvaiázere,Município,Total,,,,,7
2011,Alvito,Município,T0 ou T1,,,,,0
2011,Alvito,Município,T2,,,,,3
2011,Alvito,Município,T3,,,,,0
2011,Alvito,Município,T4 ou mais,,,,,1
2011,Alvito,Município,Total,,,,,4
2011,Amadora,Município,T0 ou T1,,,,,0
2011,Amadora,Município,T2,,,,,31
2011,Amadora,Município,T3,,,,,19
2011,Amadora,Município,T4 ou mais,,,,,4
2011,Amadora,Município,Total,,,,,54
2011,Amarante,Município,T0 ou T1,,,,,7
2011,Amarante,Município,T2,,,,,17
2011,Amarante,Município,T3,,,,,144
2011,Amarante,Município,T4 ou mais,,,,,42
2011,Amarante,Município,Total,,,,,210
2011,Amares,Município,T0 ou T1,,,,,0
2011,Amares,Município,T2,,,,,2
2011,Amares,Município,T3,,,,,43
2011,Amares,Município,T4 ou mais,,,,,22
2011,Amares,Município,Total,,,,,67
2011,Anadia,Município,T0 ou T1,,,,,0
2011,Anadia,Município,T2,,,,,9
2011,Anadia,Município,T3,,,,,41
2011,Anadia,Município,T4 ou mais,,,,,24
2011,Anadia,Município,Total,,,,,74
2011,Angra do Heroísmo,Município,T0 ou T1,,,,,3
2011,Angra do Heroísmo,Município,T2,,,,,10
2011,Angra do Heroísmo,Município,T3,,,,,50
2011,Angra do Heroísmo,Município,T4 ou mais,,,,,9
2011,Angra do Heroísmo,Município,Total,,,,,72
2011,Ansião,Município,T0 ou T1,,,,,3
2011,Ansião,Município,T2,,,,,7
2011,Ansião,Município,T3,,,,,31
2011,Ansião,Município,T4 ou mais,,,,,12
2011,Ansião,Município,Total,,,,,53
2011,Arcos de Valdevez,Município,T0 ou T1,,,,,1
2011,Arcos de Valdevez,Município,T2,,,,,24
2011,Arcos de Valdevez,Município,T3,,,,,46
2011,Arcos de Valdevez,Município,T4 ou mais,,,,,8
2011,Arcos de Valdevez,Município,Total,,,,,79
2011,Arganil,Município,T0 ou T1,,,,,1
2011,Arganil,Município,T2,,,,,9
2011,Arganil,Município,T3,,,,,18
2011,Arganil,Município,T4 ou mais,,,,,10
2011,Arganil,Município,Total,,,,,38
2011,Armamar,Município,T0 ou T1,,,,,0
2011,Armamar,Município,T2,,,,,4
2011,Armamar,Município,T3,,,,,20
2011,Armamar,Município,T4 ou mais,,,,,13
2011,Armamar,Município,Total,,,,,37
2011,Arouca,Município,T0 ou T1,,,,,3
2011,Arouca,Município,T2,,,,,7
2011,Arouca,Município,T3,,,,,48
2011,Arouca,Município,T4 ou mais,,,,,14
2011,Arouca,Município,Total,,,,,72
2011,Arraiolos,Município,T0 ou T1,,,,,0
2011,Arraiolos,Município,T2,,,,,3
2011,Arraiolos,Município,T3,,,,,14
2011,Arraiolos,Município,T4 ou mais,,,,,9
2011,Arraiolos,Município,Total,,,,,26
2011,Arronches,Município,T0 ou T1,,,,,0
2011,Arronches,Município,T2,,,,,0
2011,Arronches,Município,T3,,,,,0
2011,Arronches,Município,T4 ou mais,,,,,0
2011,Arronches,Município,Total,,,,,0
2011,Arruda dos Vinhos,Município,T0 ou T1,,,,,3
2011,Arruda dos Vinhos,Município,T2,,,,,7
2011,Arruda dos Vinhos,Município,T3,,,,,21
2011,Arruda dos Vinhos,Município,T4 ou mais,,,,,21
2011,Arruda dos Vinhos,Município,Total,,,,,52
2011,Aveiro,Município,T0 ou T1,,,,,55
2011,Aveiro,Município,T2,,,,,74
2011,Aveiro,Município,T3,,,,,149
2011,Aveiro,Município,T4 ou mais,,,,,77
2011,Aveiro,Município,Total,,,,,355
2011,Avis,Município,T0 ou T1,,,,,1
2011,Avis,Município,T2,,,,,5
2011,Avis,Município,T3,,,,,5
2011,Avis,Município,T4 ou mais,,,,,2
2011,Avis,Município,Total,,,,,13
2011,Azambuja,Município,T0 ou T1,,,,,7
2011,Azambuja,Município,T2,,,,,19
2011,Azambuja,Município,T3,,,,,16
2011,Azambuja,Município,T4 ou mais,,,,,14
2011,Azambuja,Município,Total,,,,,56
2011,Baião,Município,T0 ou T1,,,,,0
2011,Baião,Município,T2,,,,,5
2011,Baião,Município,T3,,,,,38
2011,Baião,Município,T4 ou mais,,,,,17
2011,Baião,Município,Total,,,,,60
2011,Barcelos,Município,T0 ou T1,,,,,10
2011,Barcelos,Município,T2,,,,,22
2011,Barcelos,Município,T3,,,,,262
2011,Barcelos,Município,T4 ou mais,,,,,83
2011,Barcelos,Município,Total,,,,,377
2011,Barrancos,Município,T0 ou T1,,,,,0
2011,Barrancos,Município,T2,,,,,0
2011,Barrancos,Município,T3,,,,,1
2011,Barrancos,Município,T4 ou mais,,,,,0
2011,Barrancos,Município,Total,,,,,1
2011,Barreiro,Município,T0 ou T1,,,,,2
2011,Barreiro,Município,T2,,,,,26
2011,Barreiro,Município,T3,,,,,39
2011,Barreiro,Município,T4 ou mais,,,,,29
2011,Barreiro,Município,Total,,,,,96
2011,Batalha,Município,T0 ou T1,,,,,4
2011,Batalha,Município,T2,,,,,19
2011,Batalha,Município,T3,,,,,39
2011,Batalha,Município,T4 ou mais,,,,,18
2011,Batalha,Município,Total,,,,,80
2011,Beja,Município,T0 ou T1,,,,,17
2011,Beja,Município,T2,,,,,14
2011,Beja,Município,T3,,,,,13
2011,Beja,Município,T4 ou mais,,,,,14
2011,Beja,Município,Total,,,,,58
2011,Belmonte,Município,T0 ou T1,,,,,1
2011,Belmonte,Município,T2,,,,,1
2011,Belmonte,Município,T3,,,,,6
2011,Belmonte,Município,T4 ou mais,,,,,4
2011,Belmonte,Município,Total,,,,,12
2011,Benavente,Município,T0 ou T1,,,,,2
2011,Benavente,Município,T2,,,,,8
2011,Benavente,Município,T3,,,,,31
2011,Benavente,Município,T4 ou mais,,,,,11
2011,Benavente,Município,Total,,,,,52
2011,Bombarral,Município,T0 ou T1,,,,,1
2011,Bombarral,Município,T2,,,,,1
2011,Bombarral,Município,T3,,,,,9
2011,Bombarral,Município,T4 ou mais,,,,,8
2011,Bombarral,Município,Total,,,,,19
2011,Borba,Município,T0 ou T1,,,,,1
2011,Borba,Município,T2,,,,,4
2011,Borba,Município,T3,,,,,11
2011,Borba,Município,T4 ou mais,,,,,1
